id,label,pred,prob,type,target,path,text,meme_discription,text_discription
146,1,0,0.33477,4,0,146.jpg,我：“我喜欢高质量独处还是我：*一个人生活时,一位有着蓬乱发型的男性正低头微微侧视。,这是一种自嘲式幽默，表达了作者喜欢独处但实际上却感到孤独。
7015,1,0,0.335428,1,8,7015.jpg,当有人问我“.gif”要怎么念的时候：哦不，我可不想讨论政治话题。,男子身着科幻风格的服装，坐在飞船驾驶舱内，表情似乎带有轻松和自信。,这条文本是在幽默地表达“.gif”发音争议像政治话题一样敏感和容易引发争论。
7778,1,0,0.336129,1,6,7778.jpg,还有没有其他人也觉得他的胡子像两只水豚在亲亲：。,一名纹身男子的涂鸦风格肖像，和两只水獭靠头互动的图片。,这是一种幽默夸张的比喻，形容某人胡子浓密且形状独特，像两只亲昵的水豚。
10855,1,0,0.336422,3,0,10855.jpg,不在别找找也不回,动画片中的角色躺在床上，似乎在睡觉。,这句话可能是错别字，应该是“不在别处找也不回”，意思是不在其他地方寻找也不会回来。
6559,1,0,0.336899,4,0,6559.jpg,我一天到晚的生活可以用两张图片来概括。,一只穿着眼镜，在电脑前专注工作的柴犬，和一只裹着毯子休息的柴犬。,这句话表达了作者的日常生活非常单调，可以用两张图片就能描述清楚。
7939,1,0,0.337019,1,10,7939.jpg,HUAWEI,三张图片显示一人正从他人背包中拿走手机。,华为是一家中国知名的通信和电子设备制造商。
572,1,0,0.513021,2,0,572.jpg,听说他高度只有158cm但是另外一把东西有20cm,两位年轻女性互相耳语，表情似乎带有兴奋或惊讶。,此文本暗示该人身高较矮，但生殖器尺寸较大。
286,1,0,0.512907,4,0,286.jpg,我喜欢你我吗？21你是没眼光你认真的吗？还是没底线？34,四格漫画，两个简笔绘风格的角色，一个带头发，一个秃头，在夜晚星空下对话。,这是一句带有调侃和自嘲意味的话，表达了对方对自己的不自信和对对方的喜欢。
6962,1,0,0.512723,1,4,6962.jpg,我喜欢听朋克音乐所以我一定很要叛逆。我是亚洲孩子所以我一定要喜欢数学。我把头发染成奇怪的颜色一定是要吸引别人注意。我是一条大路所以我一定要通往罗马。,四张分割的图片，每个部分展示一个人拿着写有文字的白板，下方是条公路。,这段文本通过讽刺的方式反映了社会对个体的刻板印象和偏见。
5,1,0,0.509935,2,0,5.jpg,当我终于找到第一次看过后仍念念不忘的视频时：你和我失去你的那天一样美丽XVIDEOS,这是两张动画电影的画面组合，上面是一位长胡子老人，下面是安慰哭泣人的场景。,这是一句情感表达，通过对比视频和失去某人的美丽，表达对视频的喜爱和怀念。
13377,1,0,0.506296,3,0,13377.jpg,有点大病？,一只表情焦虑的棕色熊，面露忧虑，额头有一滴汗。,这句话可能是在询问某人是否生了重病，语气带有关切和惊讶。
13048,1,0,0.506224,1,4,13048.jpg,当亞洲父母發現自己的小孩在吃mm巧克力而不是AA巧克力時。,四个人表情各异，眼镜女士和一个男士似乎在哭泣，另外两个男士则在旁边。,这句话可能反映了亚洲父母对孩子饮食选择的关注和品牌偏好。
6783,1,0,0.504415,4,0,6783.jpg,我爷爷20岁。我爸爸25岁。我30岁。,三张不同的狮子肖像。,这条文本不符合常识，年龄关系不合理，可能是打错或者故意夸张的表达。
11821,1,0,0.501308,3,0,11821.jpg,果然外面有别的小猪仔了,一只猪从沙发旁边探出头来，看向镜头。,这句话可能是在描述某人发现了自己的伴侣出轨的情况，用“小猪仔”比喻第三者。
964,1,0,0.500486,4,0,964.jpg,我好丑，没人会喜欢我。我长得真好看，谁见了都会爱上我,两张不同表情的海绵宝宝插图：一张悲伤哭泣，一张惊喜脸红。,这是一种自嘲和自恋的矛盾情绪表达，反映出个体对自身外貌的不同认知和情感态度。
12474,1,0,0.500369,3,0,12474.jpg,请你有点至知之迷,这是一张动图，显示一个戴着面具的人在转动头部。,这是一句古风诗句，意为请你对知识有所追求和向往。
11374,1,0,0.500073,4,0,11374.jpg,秃 压力 数学差 困境 穷 非常穷 太穷了 我 痛苦,一只猫戴着恐龙造型服饰，身边有多个动物毛绒玩具。,这段文本表达了一个人因为秃头、经济困难和数学成绩差而感到压力和痛苦的心情。
10252,1,0,0.499803,3,0,10252.jpg,"除了CF其他游戏都是辣鸡
为什么不玩玩神奇的CF呢
一天到晚玩你妈逼的王者",这是一张含有两部分内容的图片：左上角是一位戴眼镜的男性头像；右上角是一个禁止标志覆盖的金发人物头像。中间是一个卡通熊猫头像。,这是一条带有侮辱性和偏见的游戏评论，表达了对CF游戏的喜爱和对其他游戏的贬低。
13293,1,0,0.49919,3,0,13293.jpg,不回消息？。有时间嘎嘎刷抖音。信不信我叉4你。,一只模糊的卡通狗形象，拿着一副眼镜。,这是一条带有情绪和责备语气的信息，表达了对对方不回复消息却有时间玩抖音的不满。
13592,1,0,0.498958,4,0,13592.jpg,我的日常生活只有四种状态：。过度思考。白日做梦。痛到失语。苦中作乐。,四张不同的猫咪图片，表现出类似人类情感和行为的幽默模仿。,这句话表达了作者在日常生活中经历的四种心理状态，反映了他的情绪波动和对生活的态度。
126,1,0,0.498711,1,4,126.jpg,如何同时激怒两国人民。意大利人。日本人。,这是一张含有意大利面制成的寿司卷的图片，下方有两个不同国家的反应示意图。,此文本可能涉及对意大利和日本文化的冒犯或误解，引发两国人民不满。
11686,0,1,0.673272,0,0,11686.jpg,人穷不剁手,一名表情疲惫的卡通人物提着公文包，手持锤子，背上有翅膀。,这句话意思是，当一个人贫穷时，不应该盲目消费或购买昂贵的东西。
5534,0,1,0.669788,0,0,5534.jpg,你也抢显卡啊？,这是一张合成的幽默图片，展示一只穿红色内衣的卡通猴子，头部被一张人的面孔所替换。,这句话可能是在询问对方是否也在抢购显卡，显卡可能因为热门而供不应求。
10122,0,1,0.668525,0,0,10122.jpg,睡你麻痹 起来嗨,一只灰色的卡通猫高兴地跳跃。,这是一句网络流行语，带有粗俗和激励的双重含义，用于唤醒和鼓励他人积极行动。
11791,0,1,0.658809,0,0,11791.jpg,给我点面子,这是一张合成图像，将熊猫的特征融合到一个人的脸上。,"""给我点面子""意味着请求对方在社交场合给予尊重或体面，避免尴尬。"
11792,0,1,0.656579,0,0,11792.jpg,算了瞎写吧考试结束,两幅卡通风格图片展示了穿着熊猫服装的人物，上图微笑，下图似乎在舞蹈。,这是一位学生在考试结束后，因为不会写而放弃继续答题的无奈心情表达。
11362,0,1,0.656505,0,0,11362.jpg,你说森么？,这是一个表情符号，它眯着一只眼睛，伸出手掌做停止的手势。,这是一句口语化的表达，相当于普通话中的“你说什么？”表示询问对方刚才说了什么内容。
10696,0,1,0.652741,0,0,10696.jpg,呵,一只柴犬面带微笑，表情轻松自信。,"""呵""字在汉语中常用于表示轻蔑、不屑或惊讶的情感，也可用作轻声叹词。"
12655,0,1,0.652028,0,0,12655.jpg,"脸上笑嘻嘻
心里MMP",这是一个带有熊猫特征的卡通化人物面孔。,"这句话表达了表面装作开心，内心却在骂人的情绪。""MMP""是网络用语，代表不满或生气。"
11893,0,1,0.65075,0,0,11893.jpg,有点点难过,一只卡通老鼠拿着一块奶酪站在洞口。,这句话表达了说话者的情绪，感到有些伤心或失落。
11907,0,1,0.643913,0,0,11907.jpg,武功再高也怕菜刀,这是一张卡通图片，展示了一个流泪的卡通人物头顶插着几根箭。,此句表达无论多么厉害的人也有弱点，强调谦虚谨慎，不可过于自信。
8029,0,1,0.640095,0,0,8029.jpg,当这次是ta先发信息给你时：。,两幅简笔画，左侧展示人物躺着听音乐，右侧是模糊的音乐心形符号。,这条文本可能表达的是对方主动联系自己时的情况描述。
11896,0,1,0.639806,0,0,11896.jpg,去打工的欢快背影,这是一张动画形象的背景，上面有一只蓝色的小熊拿着一把挎包走在路上。,这句话描述了一个人充满活力和积极态度去工作的场景，表达了对工作的热爱和期待。
10632,0,1,0.638685,0,0,10632.jpg,知道我拿的是什么吗？是肾！,卡通风格的熊猫头像，头顶一部手机。,这可能是一句黑色幽默，暗示某人为了得到某物不惜牺牲自己的肾脏。
12671,0,1,0.63827,0,0,12671.jpg,"明天大涨！
LUCK
跟我一起喊：",这是一张卡通风格的图片，有一个夸张表情的人物头像和一些图形。,这是一条鼓励性的股市投资口号，表达对明天股市行情看好的情绪。
570,0,1,0.637329,0,0,570.jpg,漫畫。動畫。谜片,三张图片，展示了不同风格的女性插画和实拍照片。,这是三种不同的娱乐形式，分别是漫画、动画和谜题游戏。
